"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times","+high",20,0.88,0,0.12,0.874059405940594,0,0.125940594059406,0.01,"0",0.790332873898875
"event.times1","+low",20,0.61,0,0.39,0.668613861386139,0,0.331386138613861,0.01,"0",0.746650943709439
"event.times2","full",20,0.79,0,0.21,0.791584158415842,0,0.208415841584158,0.01,"0",1.5454447340511
"event.times3","low.var",20,0.82,0,0.18,0.84039603960396,0,0.15960396039604,0.02,"2.88278654791589",1.02394219461573
"event.times4","+high",20,0.89,0,0.11,0.895346534653465,0,0.104653465346535,0.01,"0",0.794066092910644
"event.times5","+low",20,0.64,0,0.36,0.593663366336634,0,0.406336633663366,0.01,"0",0.48553069339276
"event.times6","full",20,0.78,0,0.22,0.770495049504951,0,0.22950495049505,0.03,"17.1119889236703",1.36355100188097
"event.times7","low.var",20,0.8,0,0.2,0.828514851485148,0,0.171485148514851,0.02,"1.28075102505181",1.05223921238213
"event.times8","+high",20,0.9,0,0.1,0.888316831683168,0,0.111683168316832,0.01,"0",0.944618500550003
"event.times9","+low",20,0.62,0,0.38,0.612871287128713,0,0.387128712871287,0.01,"0",1.13279314635203
"event.times10","full",20,0.78,0,0.22,0.81009900990099,0,0.18990099009901,0.01,"0",1.51770992745107
"event.times11","low.var",20,0.88,0,0.12,0.853267326732673,0,0.146732673267327,0.02,"5.13766270695449",1.02766846019437
"event.times12","+high",20,0.92,0,0.08,0.926534653465347,0,0.0734653465346535,0.07,"12.4818082691001",1.71118850479019
"event.times13","+low",20,0.66,0,0.34,0.621386138613861,0,0.378613861386139,0.01,"0",0.611621844900222
"event.times14","full",20,0.79,0,0.21,0.801287128712871,0,0.198712871287129,0.01,"0",0.6386495746849
"event.times15","low.var",20,0.85,0,0.15,0.831188118811881,0,0.168811881188119,0.01,"0",0.95202727550324
"event.times16","+high",20,0.9,0,0.1,0.916435643564356,0,0.0835643564356436,0.03,"8.76999998358879",0.894494158137302
"event.times17","+low",20,0.56,0,0.44,0.606930693069307,0,0.393069306930693,0.01,"0",1.13001183514568
"event.times18","full",20,0.77,0,0.23,0.794356435643564,0,0.205643564356436,0.01,"0",0.774513747646857
"event.times19","low.var",20,0.89,0,0.11,0.803267326732673,0,0.196732673267327,0.01,"0",1.14431841633751
"event.times20","+high",20,0.93,0,0.07,0.90960396039604,0,0.0903960396039604,0.03,"4.6851065039261",1.60920641197265
"event.times21","+low",20,0.66,0,0.34,0.608712871287129,0,0.391287128712871,0.01,"0",0.953207331781804
"event.times22","full",20,0.77,0,0.23,0.773168316831683,0,0.226831683168317,0.01,"0",0.895449265570505
"event.times23","low.var",20,0.84,0,0.16,0.854059405940594,0,0.145940594059406,0.01,"0",0.998531521984733
"event.times24","+high",20,0.94,0,0.06,0.917227722772277,0,0.0827722772277228,0.02,"3.83035649735943",0.785517343939517
"event.times25","+low",20,0.65,0,0.35,0.691782178217822,0,0.308217821782178,0.02,"0.444450117257971",1.1219902121655
"event.times26","full",20,0.88,0,0.12,0.820594059405941,0,0.179405940594059,0.02,"1.70048624026419",1.03004350867205
"event.times27","low.var",20,0.75,0,0.25,0.763861386138614,0,0.236138613861386,0.01,"0",0.82999770910596
"event.times28","+high",20,0.91,0,0.09,0.922277227722772,0,0.0777227722772277,0.05,"27.2035248433155",1.72193049223128
"event.times29","+low",20,0.65,0,0.35,0.713762376237624,0,0.286237623762376,0.01,"0",0.572211279276158
"event.times30","full",20,0.79,0,0.21,0.794158415841584,0,0.205841584158416,0.01,"0",1.56093361487765
"event.times31","low.var",20,0.84,0,0.16,0.815049504950495,0,0.184950495049505,0.01,"0",0.853791837062977
"event.times32","+high",20,0.92,0,0.08,0.886732673267327,0,0.113267326732673,0.01,"0",1.17671563727154
"event.times33","+low",20,0.68,0,0.32,0.672871287128713,0,0.327128712871287,0.01,"0",1.03628213998688
"event.times34","full",20,0.78,0,0.22,0.781980198019802,0,0.218019801980198,0.02,"0.643324988316575",1.24319513630999
"event.times35","low.var",20,0.84,0,0.16,0.817821782178218,0,0.182178217821782,0.03,"1.15450371484629",0.820892882427054
"event.times36","+high",20,0.94,0,0.06,0.921782178217822,0,0.0782178217821782,0.02,"0.0611557889511892",0.784790836733341
"event.times37","+low",20,0.69,0,0.31,0.646237623762376,0,0.353762376237624,0.01,"0",1.2324766883051
"event.times38","full",20,0.86,0,0.14,0.801980198019802,0,0.198019801980198,0.02,"1.3195920244001",1.25010065306582
"event.times39","low.var",20,0.89,0,0.11,0.88049504950495,0,0.11950495049505,0.01,"0",1.1644719293883
"event.times40","+high",20,0.92,0,0.08,0.917029702970297,0,0.082970297029703,0.01,"0",1.00224948581273
"event.times41","+low",20,0.65,0,0.35,0.679306930693069,0,0.320693069306931,0.01,"0",0.573500268308283
"event.times42","full",20,0.7,0,0.3,0.78990099009901,0,0.21009900990099,0.01,"0",0.709316291871195
"event.times43","low.var",20,0.86,0,0.14,0.874059405940594,0,0.125940594059406,0.04,"4.68391539207252",1.13276211572154
"event.times44","+high",20,0.86,0,0.14,0.895247524752475,0,0.104752475247525,0.01,"0",0.966847042621353
"event.times45","+low",20,0.6,0,0.4,0.577821782178218,0,0.422178217821782,0.02,"8.27166795588254",0.866597637503567
"event.times46","full",20,0.79,0,0.21,0.834554455445545,0,0.165445544554455,0.01,"0",0.567268185870179
"event.times47","low.var",20,0.87,0,0.13,0.871584158415842,0,0.128415841584158,0.01,"0",1.11091301706217
"event.times48","+high",20,0.89,0,0.11,0.87,0,0.13,0.01,"0",1.51302766537897
"event.times49","+low",20,0.66,0,0.34,0.58990099009901,0,0.41009900990099,0.01,"0",0.367079490815617
"event.times50","full",20,0.8,0,0.2,0.790495049504951,0,0.209504950495049,0.01,"0",0.648490803571785
"event.times51","low.var",20,0.83,0,0.17,0.85,0,0.15,0.01,"0",1.23993772196985
"event.times52","+high",20,0.94,0,0.06,0.88019801980198,0,0.11980198019802,0.01,"0",1.06301665619997
"event.times53","+low",20,0.57,0,0.43,0.583267326732673,0,0.416732673267327,0.01,"0",0.43648055891083
"event.times54","full",20,0.81,0,0.19,0.758118811881188,0,0.241881188118812,0.01,"0",1.05748247334615
"event.times55","low.var",20,0.92,0,0.08,0.866732673267327,0,0.133267326732673,0.01,"0",0.8373037638745
"event.times56","+high",20,0.84,0,0.16,0.860594059405941,0,0.139405940594059,0.01,"0",1.31709271626028
"event.times57","+low",20,0.7,0,0.3,0.710891089108911,0,0.289108910891089,0.01,"0",0.46344042793251
"event.times58","full",20,0.77,0,0.23,0.771782178217822,0,0.228217821782178,0.01,"0",0.341827808747631
"event.times59","low.var",20,0.83,0,0.17,0.839306930693069,0,0.160693069306931,0.01,"0",0.932390417920869
"event.times60","+high",20,0.9,0,0.1,0.88019801980198,0,0.11980198019802,0.04,"12.5088234053149",1.69400897825326
"event.times61","+low",20,0.68,0,0.32,0.638019801980198,0,0.361980198019802,0.01,"0",0.236730601940992
"event.times62","full",20,0.8,0,0.2,0.802574257425743,0,0.197425742574257,0.01,"0",0.754229536007023
"event.times63","low.var",20,0.83,0,0.17,0.871188118811881,0,0.128811881188119,0.01,"0",1.0265434455901
"event.times64","+high",20,0.89,0,0.11,0.878910891089109,0,0.121089108910891,0.01,"0",1.54911724866928
"event.times65","+low",20,0.71,0,0.29,0.748415841584158,0,0.251584158415842,0.01,"0",0.990453397999534
"event.times66","full",20,0.79,0,0.21,0.768217821782178,0,0.231782178217822,0.01,"0",1.15559125073137
"event.times67","low.var",20,0.89,0,0.11,0.826633663366337,0,0.173366336633663,0.01,"0",0.932805729209156
"event.times68","+high",20,0.9,0,0.1,0.917029702970297,0,0.082970297029703,0.01,"0",1.69021418652109
"event.times69","+low",20,0.76,0,0.24,0.712475247524752,0,0.287524752475248,0.01,"0",0.99436925072574
"event.times70","full",20,0.79,0,0.21,0.791188118811881,0,0.208811881188119,0.01,"0",0.252699265737931
"event.times71","low.var",20,0.88,0,0.12,0.886138613861386,0,0.113861386138614,0.01,"0",1.17492519424962
"event.times72","+high",20,0.92,0,0.08,0.897425742574257,0,0.102574257425743,0.01,"0",1.50752186971874
"event.times73","+low",20,0.64,0,0.36,0.632871287128713,0,0.367128712871287,0.01,"0",0.534795444708058
"event.times74","full",20,0.79,0,0.21,0.804257425742574,0,0.195742574257426,0.02,"3.95676158097595",0.875330881289171
"event.times75","low.var",20,0.83,0,0.17,0.890594059405941,0,0.109405940594059,0.02,"5.7037112315611",0.987397859168375
"event.times76","+high",20,0.9,0,0.1,0.903564356435644,0,0.0964356435643564,0.01,"0",0.930045282132665
"event.times77","+low",20,0.7,0,0.3,0.64019801980198,0,0.35980198019802,0.01,"0",0.733249585079646
"event.times78","full",20,0.82,0,0.18,0.782772277227723,0,0.217227722772277,0.02,"8.88783446952079",1.62293322145837
"event.times79","low.var",20,0.82,0,0.18,0.87029702970297,0,0.12970297029703,0.01,"0",1.14385835301346
"event.times80","+high",20,0.93,0,0.07,0.902475247524752,0,0.0975247524752475,0.01,"0",1.24918372773542
"event.times81","+low",20,0.73,0,0.27,0.683267326732673,0,0.316732673267327,0.01,"0",0.56326796905201
"event.times82","full",20,0.75,0,0.25,0.772772277227723,0,0.227227722772277,0.01,"0",1.38590458484955
"event.times83","low.var",20,0.88,0,0.12,0.875049504950495,0,0.124950495049505,0.01,"0",1.22701403144672
"event.times84","+high",20,0.88,0,0.12,0.89009900990099,0,0.10990099009901,0.01,"0",1.32301998938478
"event.times85","+low",20,0.71,0,0.29,0.671782178217822,0,0.328217821782178,0.02,"0.503327236610127",0.461037212250203
"event.times86","full",20,0.76,0,0.24,0.783960396039604,0,0.216039603960396,0.01,"0",0.360575098445204
"event.times87","low.var",20,0.79,0,0.21,0.828613861386139,0,0.171386138613861,0.01,"0",0.796384260839316
"event.times88","+high",20,0.89,0,0.11,0.890792079207921,0,0.109207920792079,0.02,"4.96982320626934",1.25053084579482
"event.times89","+low",20,0.74,0,0.26,0.688712871287129,0,0.311287128712871,0.01,"0",0.789354913636449
"event.times90","full",20,0.73,0,0.27,0.739306930693069,0,0.260693069306931,0.03,"1.46460700241717",1.12938395686124
"event.times91","low.var",20,0.81,0,0.19,0.772178217821782,0,0.227821782178218,0.01,"0",0.993561399861327
"event.times92","+high",20,0.92,0,0.08,0.913861386138614,0,0.0861386138613861,0.01,"0",1.14500089756697
"event.times93","+low",20,0.64,0,0.36,0.616831683168317,0,0.383168316831683,0.01,"0",0.758749299254058
"event.times94","full",20,0.76,0,0.24,0.765148514851485,0,0.234851485148515,0.01,"0",0.617455557568246
"event.times95","low.var",20,0.83,0,0.17,0.849207920792079,0,0.150792079207921,0.01,"0",0.764966138752563
"event.times96","+high",20,0.86,0,0.14,0.896435643564356,0,0.103564356435644,0.01,"0",1.60154382871822
"event.times97","+low",20,0.58,0,0.42,0.565544554455445,0,0.434455445544554,0.02,"1.01030159018229",0.869834845539247
"event.times98","full",20,0.73,0,0.27,0.723267326732673,0,0.276732673267327,0.01,"0",1.42674075226994
