"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times","+high",20,0.88,0,0.12,0.874059405940594,0,0.125940594059406,0.01,"0",0.790332873898875
"event.times1","+low",20,0.61,0,0.39,0.668613861386139,0,0.331386138613861,0.01,"0",0.746650943709439
"event.times2","full",20,0.79,0,0.21,0.791584158415842,0,0.208415841584158,0.01,"0",1.5454447340511
"event.times3","low.var",20,0.82,0,0.18,0.84039603960396,0,0.15960396039604,0.02,"2.87331337794741",1.02394219461573
"event.times4","+high",20,0.89,0,0.11,0.895346534653465,0,0.104653465346535,0.01,"0",0.794066092910644
"event.times5","+low",20,0.64,0,0.36,0.593663366336634,0,0.406336633663366,0.01,"0",0.48553069339276
"event.times6","full",20,0.76,0,0.24,0.76970297029703,0,0.23029702970297,0.03,"15.9858339702181",1.36355100188097
"event.times7","low.var",20,0.78,0,0.22,0.814653465346535,0,0.185346534653465,0.02,"1.28075102505181",1.05223921238213
"event.times8","+high",20,0.9,0,0.1,0.888316831683168,0,0.111683168316832,0.01,"0",0.944618500550003
"event.times9","+low",20,0.62,0,0.38,0.612871287128713,0,0.387128712871287,0.01,"0",1.13279314635203
"event.times10","full",20,0.79,0,0.21,0.801287128712871,0,0.198712871287129,0.01,"0",0.6386495746849
"event.times11","low.var",20,0.89,0,0.11,0.839108910891089,0,0.160891089108911,0.01,"0",1.1581697313431
"event.times12","+high",20,0,0.46,0.54,0,0.584554455445545,0.415445544554455,0.7,"128.290412781931",1.41308211029412
"event.times13","+low",20,0.66,0,0.34,0.621386138613861,0,0.378613861386139,0.01,"0",0.611621844900222
"event.times14","full",20,0.84,0,0.16,0.828910891089109,0,0.171089108910891,0.01,"0",1.24479478897981
"event.times15","low.var",20,0.79,0,0.21,0.825049504950495,0,0.174950495049505,0.03,"5.44150906693662",1.02766846019437
"event.times16","+high",20,0.38,0.33,0.29,0.376633663366337,0.338415841584158,0.284950495049505,0.56,"113.5699259837",0.894494158137302
"event.times17","+low",20,0.75,0,0.25,0.722475247524752,0,0.277524752475248,0.01,"0",0.442718727236227
"event.times18","full",20,0.82,0,0.18,0.818217821782178,0,0.181782178217822,0.01,"0",1.65706772732936
"event.times19","low.var",20,0.89,0,0.11,0.803267326732673,0,0.196732673267327,0.01,"0",1.14431841633751
"event.times20","+high",20,0.28,0.39,0.33,0.283762376237624,0.376633663366337,0.33960396039604,0.56,"114.62268763462",0.785517343939517
"event.times21","+low",20,0.68,0,0.32,0.621584158415842,0,0.378415841584158,0.01,"0",0.487629953721733
"event.times22","full",20,0.77,0,0.23,0.773168316831683,0,0.226831683168317,0.01,"0",0.895449265570505
"event.times23","low.var",20,0.83,0,0.17,0.817722772277228,0,0.182277227722772,0.01,"0",0.841468096361839
"event.times24","+high",20,0.85,0,0.15,0.881089108910891,0,0.118910891089109,0.04,"5.78537215941673",1.64422494379373
"event.times25","+low",20,0.74,0,0.26,0.681980198019802,0,0.318019801980198,0.02,"7.03706964310878",0.684044774724458
"event.times26","full",20,0.7,0,0.3,0.701584158415842,0,0.298415841584158,0.01,"0",0.491474431934249
"event.times27","low.var",20,0.86,0,0.14,0.836831683168317,0,0.163168316831683,0.01,"0",1.03934386817605
"event.times28","+high",20,0.9,0,0.1,0.858613861386139,0,0.141386138613861,0.01,"0",1.47070978171139
"event.times29","+low",20,0.56,0,0.44,0.616237623762376,0,0.383762376237624,0.01,"0",1.08021596484556
"event.times30","full",20,0.81,0,0.19,0.804257425742574,0,0.195742574257426,0.01,"0",0.490147190137868
"event.times31","low.var",20,0.87,0,0.13,0.827623762376238,0,0.172376237623762,0.15,"34.5019038352759",0.968600669835367
"event.times32","+high",20,0.92,0,0.08,0.875049504950495,0,0.124950495049505,0.01,"0",0.774802036277716
"event.times33","+low",20,0.62,0,0.38,0.636633663366337,0,0.363366336633663,0.02,"3.70541365298505",0.84043580347559
"event.times34","full",20,0.88,0,0.12,0.841980198019802,0,0.158019801980198,0.01,"0",1.34023106726507
"event.times35","low.var",20,0.85,0,0.15,0.85,0,0.15,0.1,"23.3828794107481",1.02591165375432
"event.times36","+high",20,0.01,0.63,0.36,0.0295049504950495,0.57960396039604,0.390891089108911,0.7,"81.7770047550671",1.75726899482199
"event.times37","+low",20,0.67,0,0.33,0.63990099009901,0,0.36009900990099,0.07,"8.81390451336013",0.814927560659367
"event.times38","full",20,0.75,0,0.25,0.771584158415842,0,0.228415841584158,0.01,"0",1.44513771923756
"event.times39","low.var",20,0.82,0,0.18,0.780594059405941,0,0.219405940594059,0.01,"0",0.755057109970045
"event.times40","+high",20,0.88,0,0.12,0.881980198019802,0,0.118019801980198,0.01,"0",0.777141039557563
"event.times41","+low",20,0.77,0,0.23,0.681485148514852,0,0.318514851485149,0.01,"0",0.697962181463678
"event.times42","full",20,0.82,0,0.18,0.795841584158416,0,0.204158415841584,0.05,"8.05436274651817",1.32379722789037
"event.times43","low.var",20,0.85,0,0.15,0.836930693069307,0,0.163069306930693,0.04,"7.13383081965348",1.23935228783835
"event.times44","+high",20,0.89,0,0.11,0.89970297029703,0,0.10029702970297,0.02,"0.0719119129122325",0.899872306179579
"event.times45","+low",20,0.63,0,0.37,0.61950495049505,0,0.38049504950495,0.03,"4.52392652028227",0.670571556210448
"event.times46","full",20,0.71,0,0.29,0.765841584158416,0,0.234158415841584,0.02,"1.00495703876899",0.820196030234034
"event.times47","low.var",20,0.87,0,0.13,0.862673267326733,0,0.137326732673267,0.02,"4.74631871489934",1.12619607178973
"event.times48","+high",20,0.87,0,0.13,0.861881188118812,0,0.138118811881188,0.02,"1.13156406895537",1.44024382858627
"event.times49","+low",20,0.7,0,0.3,0.65009900990099,0,0.34990099009901,0.01,"0",0.504538406038399
"event.times50","full",20,0.72,0,0.28,0.766336633663366,0,0.233663366336634,0.04,"10.1071379493516",1.12600368379321
"event.times51","low.var",20,0.82,0,0.18,0.870891089108911,0,0.129108910891089,0.14,"9.83268635937873",1.08774412926133
"event.times52","+high",20,0,0.55,0.45,0,0.597326732673267,0.402673267326733,0.76,"120.158742721448",1.15341056544117
"event.times53","+low",20,0.66,0,0.34,0.675841584158416,0,0.324158415841584,0.03,"8.37214382500263",0.951893491757309
"event.times54","full",20,0.74,0,0.26,0.738811881188119,0,0.261188118811881,0.12,"28.5018919430334",1.62186491695884
"event.times55","low.var",20,0.96,0,0.04,0.793069306930693,0,0.206930693069307,0.01,"0",0.796951469829037
"event.times56","+high",20,0.88,0,0.12,0.89029702970297,0,0.10970297029703,0.01,"0",1.32403079557084
"event.times57","+low",20,0.66,0,0.34,0.664752475247525,0,0.335247524752475,0.01,"0",1.07834698591643
"event.times58","full",20,0.75,0,0.25,0.753762376237624,0,0.246237623762376,0.2,"131.33676051437",1.2338072124422
"event.times59","low.var",20,0.78,0,0.22,0.826138613861386,0,0.173861386138614,0.01,"0",0.838069385563168
"event.times60","+high",20,0.16,0.45,0.39,0.184851485148515,0.419207920792079,0.395940594059406,0.54,"137.515101916993",0.947673741201061
"event.times61","+low",20,0.74,0,0.26,0.71980198019802,0,0.28019801980198,0.02,"1.78948976508888",1.06381828744612
"event.times62","full",20,0.76,0,0.24,0.712673267326733,0,0.287326732673267,0.02,"0.403378959183562",0.432684690537582
"event.times63","low.var",20,0.8,0,0.2,0.858811881188119,0,0.141188118811881,0.08,"16.8510740398885",0.849122281097477
"event.times64","+high",20,0.9,0,0.1,0.907128712871287,0,0.0928712871287129,0.02,"0.0420185273671257",1.41651549940529
"event.times65","+low",20,0.68,0,0.32,0.695247524752475,0,0.304752475247525,0.01,"0",0.443533745450529
"event.times66","full",20,0.68,0.03,0.29,0.724356435643564,0.0449504950495049,0.230693069306931,0.26,"106.266775923504",0.724403221937693
"event.times67","low.var",20,0.81,0,0.19,0.844059405940594,0,0.155940594059406,0.01,"0",0.787519417214542
"event.times68","+high",20,0.9,0,0.1,0.917029702970297,0,0.082970297029703,0.03,"1.12311387862368",1.7533951052069
"event.times69","+low",20,0.63,0,0.37,0.70980198019802,0,0.29019801980198,0.01,"0",0.452559183732189
"event.times70","full",20,0.83,0,0.17,0.80009900990099,0,0.19990099009901,0.07,"2.71865044425358",1.43030073133881
"event.times71","low.var",20,0.83,0,0.17,0.877128712871287,0,0.122871287128713,0.02,"0.24780762792043",1.06398876866894
"event.times72","+high",20,0.21,0.3,0.49,0.202871287128713,0.359504950495049,0.437623762376238,0.58,"82.9583841301504",1.44275502934117
"event.times73","+low",20,0.69,0,0.31,0.691782178217822,0,0.308217821782178,0.01,"0",0.47755165854913
"event.times74","full",20,0.43,0.16,0.41,0.476138613861386,0.185940594059406,0.337920792079208,0.33,"164.640792617597",0.974027670242596
"event.times75","low.var",20,0.84,0,0.16,0.86,0,0.14,0.05,"8.83002408513762",0.942535684718496
"event.times76","+high",20,0.89,0,0.11,0.925841584158416,0,0.0741584158415842,0.01,"0",1.29531277960872
"event.times77","+low",20,0.62,0,0.38,0.599405940594059,0,0.400594059405941,0.02,"2.08984567110892",1.13464228636136
"event.times78","full",20,0.81,0,0.19,0.793168316831683,0,0.206831683168317,0.01,"0",0.475474268300986
"event.times79","low.var",20,0.86,0,0.14,0.851881188118812,0,0.148118811881188,0.01,"0",0.808400264681631
"event.times80","+high",20,0.96,0,0.04,0.888910891089109,0,0.111089108910891,0.02,"0.194600679454663",1.57064551157679
"event.times81","+low",20,0.66,0,0.34,0.664950495049505,0,0.335049504950495,0.06,"9.74058303785422",1.22343656821629
"event.times82","full",20,0.75,0,0.25,0.767821782178218,0,0.232178217821782,0.19,"35.244488039128",1.30803552282852
"event.times83","low.var",20,0.88,0,0.12,0.854455445544554,0,0.145544554455446,0.01,"0",0.996210716751359
"event.times84","+high",20,0.36,0.31,0.33,0.357920792079208,0.32029702970297,0.321782178217822,0.49,"120.785607784613",1.17008627494942
"event.times85","+low",20,0.65,0,0.35,0.678514851485149,0,0.321485148514851,0.03,"0.784932139912523",0.78979767923445
"event.times86","full",20,0.77,0,0.23,0.786831683168317,0,0.213168316831683,0.02,"1.90854341350965",1.49547155629495
"event.times87","low.var",20,0.84,0,0.16,0.83980198019802,0,0.16019801980198,0.03,"14.3660501487298",1.23279550846672
"event.times88","+high",20,0.87,0,0.13,0.882277227722772,0,0.117722772277228,0.03,"2.94612591548403",1.32709695814379
"event.times89","+low",20,0.64,0,0.36,0.6,0,0.4,0.01,"0",0.859741595333409
"event.times90","full",20,0.81,0,0.19,0.794752475247525,0,0.205247524752475,0.05,"3.37233051006601",1.22241416507616
"event.times91","low.var",20,0.84,0,0.16,0.83960396039604,0,0.16039603960396,0.01,"0",1.0552605737424
"event.times92","+high",20,0.14,0.4,0.46,0.113465346534653,0.422970297029703,0.463564356435644,0.6,"143.183858385639",1.24279792901909
"event.times93","+low",20,0.64,0,0.36,0.70039603960396,0,0.29960396039604,0.02,"0.516189139651214",0.939131348516848
"event.times94","full",20,0.8,0,0.2,0.812871287128713,0,0.187128712871287,0.01,"0",1.27691022093098
