"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times","+high",20,0.87,0,0.13,0.851782178217822,0,0.148217821782178,0.01,"0",0.901950581748347
"event.times1","+low",20,0.51,0,0.49,0.536930693069307,0,0.463069306930693,0.04,"8.06184104382763",1.08448370261971
"event.times2","full",20,0.71,0,0.29,0.726831683168317,0,0.273168316831683,0.05,"7.96294231630128",1.17546078251875
"event.times3","low.var",20,0.8,0,0.2,0.821188118811881,0,0.178811881188119,0.01,"0",0.917977818941616
"event.times4","+high",20,0.78,0,0.22,0.854851485148515,0,0.145148514851485,0.01,"0",1.33424084743482
"event.times5","+low",20,0.54,0,0.46,0.546732673267327,0,0.453267326732673,0.01,"0",0.631149549273815
"event.times6","full",20,0.74,0,0.26,0.691089108910891,0,0.308910891089109,0.02,"0.168970929317956",0.969048896579588
"event.times7","low.var",20,0.8,0,0.2,0.764752475247525,0,0.235247524752475,0.04,"1.50489465642302",1.13596558603459
"event.times8","+high",20,0.87,0,0.13,0.861683168316832,0,0.138316831683168,0.08,"24.0000616934799",1.5392193558252
"event.times9","+low",20,0.52,0,0.48,0.522772277227723,0,0.477227722772277,0.03,"0.340327393751105",0.736130628791444
"event.times10","full",20,0.73,0,0.27,0.729207920792079,0,0.270792079207921,0.04,"0.906271135460571",0.48926119408752
"event.times11","low.var",20,0.76,0,0.24,0.779207920792079,0,0.220792079207921,0.03,"4.2052391213381",1.20953423512827
"event.times12","+high",20,0.93,0,0.07,0.823267326732673,0,0.176732673267327,0.06,"23.7655765494312",1.27993863584078
"event.times13","+low",20,0.54,0,0.46,0.519207920792079,0,0.480792079207921,0.02,"0.712650987834032",0.946284943149682
"event.times14","full",20,0.75,0,0.25,0.770594059405941,0,0.229405940594059,0.01,"0",1.66388919023419
"event.times15","low.var",20,0.78,0,0.22,0.81029702970297,0,0.18970297029703,0.05,"6.79881858766202",0.83752366221352
"event.times16","+high",20,0.79,0,0.21,0.830594059405941,0,0.169405940594059,0.05,"32.6005252285126",1.35188274917904
"event.times17","+low",20,0.44,0,0.56,0.451485148514851,0,0.548514851485149,0.01,"0",0.595799841327722
"event.times18","full",20,0.75,0,0.25,0.744851485148515,0,0.255148514851485,0.02,"0.806907900706928",0.898589455114975
"event.times19","low.var",20,0.8,0,0.2,0.762178217821782,0,0.237821782178218,0.02,"0.392278745777161",1.23127274249901
"event.times20","+high",20,0.82,0,0.18,0.857227722772277,0,0.142772277227723,0.01,"0",1.5909637909937
"event.times21","+low",20,0.51,0,0.49,0.530594059405941,0,0.469405940594059,0.02,"0.510588735229309",0.475126765902221
"event.times22","full",20,0.82,0,0.18,0.744158415841584,0,0.255841584158416,0.01,"0",1.39084741623029
"event.times23","low.var",20,0.8,0,0.2,0.753663366336634,0,0.246336633663366,0.01,"0",1.15772411070905
"event.times24","+high",20,0.83,0,0.17,0.862871287128713,0,0.137128712871287,0.02,"2.3714121177413",1.36918679939365
"event.times25","+low",20,0.44,0,0.56,0.41980198019802,0,0.58019801980198,0.01,"0",1.18598031019335
"event.times26","full",20,0.76,0,0.24,0.74990099009901,0,0.25009900990099,0.02,"0.346432415199975",1.1783565096453
"event.times27","low.var",20,0.84,0,0.16,0.849306930693069,0,0.150693069306931,0.05,"0.770899623844593",0.842477982697237
"event.times28","+high",20,0.86,0,0.14,0.864950495049505,0,0.135049504950495,0.12,"20.7543679433846",1.2237253117666
"event.times29","+low",20,0.6,0,0.4,0.563168316831683,0,0.436831683168317,0.01,"0",0.34492464596114
"event.times30","full",20,0.74,0,0.26,0.706930693069307,0,0.293069306930693,0.04,"5.1196367739194",0.990493668520414
"event.times31","low.var",20,0.85,0,0.15,0.842871287128713,0,0.157128712871287,0.02,"0.30182449123334",1.11696054960226
"event.times32","+high",20,0.88,0,0.12,0.863960396039604,0,0.136039603960396,0.01,"0",0.962996564517333
"event.times33","+low",20,0.57,0,0.43,0.593762376237624,0,0.406237623762376,0.01,"0",0.418442756844661
"event.times34","full",20,0.68,0,0.32,0.685148514851485,0,0.314851485148515,0.01,"0",0.798407446553532
"event.times35","low.var",20,0.78,0,0.22,0.805346534653465,0,0.194653465346535,0.02,"0.703283798100889",0.774635157790147
"event.times36","+high",20,0.87,0,0.13,0.903267326732673,0,0.0967326732673267,0.02,"0.208501605450553",1.4303937885252
"event.times37","+low",20,0.51,0,0.49,0.557920792079208,0,0.442079207920792,0.02,"2.62654716581728",1.12424641631039
"event.times38","full",20,0.76,0,0.24,0.773861386138614,0,0.226138613861386,0.01,"0",1.07155019374924
"event.times39","low.var",20,0.78,0,0.22,0.765940594059406,0,0.234059405940594,0.01,"0",0.759340155620461
"event.times40","+high",20,0.85,0,0.15,0.880891089108911,0,0.119108910891089,0.04,"4.25749432803653",1.10627866986879
"event.times41","+low",20,0.52,0,0.48,0.560792079207921,0,0.439207920792079,0.02,"3.35345539215796",1.05278167825411
"event.times42","full",20,0.66,0,0.34,0.654257425742574,0,0.345742574257426,0.04,"5.25601148184221",1.55984872973434
