"","treatment","longevity","S","I","R","avgS","avgI","avgR","maxI","tmaxI","quality0"
"event.times","+high",20,0.88,0,0.12,0.892475247524752,0,0.107524752475248,0.01,"0",1.42766302556856
"event.times1","+low",20,0.78,0,0.22,0.794851485148515,0,0.205148514851485,0.1,"12.5573274064804",1.07569447481512
"event.times2","full",20,0.78,0,0.22,0.81009900990099,0,0.18990099009901,0.01,"0",1.64160368320202
"event.times3","low.var",20,0.81,0,0.19,0.813366336633663,0,0.186633663366337,0.02,"2.8531133572706",0.972979962863192
"event.times4","+high",20,0.9,0,0.1,0.855445544554455,0,0.144554455445545,0.02,"2.95739932980969",0.817870681366806
"event.times5","+low",20,0.86,0,0.14,0.835247524752475,0,0.164752475247525,0.07,"9.46635355910463",0.711173399901877
"event.times6","full",20,0.88,0,0.12,0.864554455445545,0,0.135445544554455,0.02,"0.928690708287515",1.3281289921388
"event.times7","low.var",20,0.87,0,0.13,0.84029702970297,0,0.15970297029703,0.02,"1.23505527366433",0.783623083771181
"event.times8","+high",20,0.82,0,0.18,0.86,0,0.14,0.01,"0",0.944618500550003
"event.times9","+low",20,0.78,0,0.22,0.733069306930693,0,0.266930693069307,0.06,"35.945412053887",0.929706388658764
"event.times10","full",20,0.78,0,0.22,0.825742574257426,0,0.174257425742574,0.01,"0",0.72040583713179
"event.times11","low.var",20,0.89,0,0.11,0.816732673267327,0,0.183267326732673,0.02,"0.0678669433227184",1.18153156741428
"event.times12","+high",20,0.88,0,0.12,0.848118811881188,0,0.151881188118812,0.01,"0",1.43172166206802
"event.times13","+low",20,0.78,0,0.22,0.734851485148515,0,0.265148514851485,0.01,"0",0.770265386039469
"event.times14","full",20,0.87,0,0.13,0.82029702970297,0,0.17970297029703,0.06,"6.59760764156794",1.389524270179
"event.times15","low.var",20,0.79,0,0.21,0.790990099009901,0,0.209009900990099,0.12,"12.933976895632",1.23737101265851
"event.times16","+high",20,0.89,0,0.11,0.883267326732673,0,0.116732673267327,0.02,"0.357461306446865",1.24638779501681
"event.times17","+low",20,0.74,0,0.26,0.804356435643564,0,0.195643564356436,0.02,"1.09728679958418",1.04149168284804
